Date,Open,High,Low,Close,Adj Close,Volume
2017-12-14,5.660000,5.720000,5.620000,5.630000,5.630000,14089600
2017-12-15,5.630000,5.730000,5.480000,5.490000,5.490000,31195200
2017-12-18,5.520000,5.710000,5.510000,5.600000,5.600000,27968600
2017-12-19,5.620000,5.720000,5.550000,5.580000,5.580000,30132500
2017-12-20,5.600000,5.660000,5.580000,5.580000,5.580000,14464500
2017-12-21,5.570000,5.700000,5.570000,5.620000,5.620000,12440200
2017-12-22,5.650000,5.730000,5.610000,5.640000,5.640000,12814000
2017-12-26,5.620000,5.850000,5.620000,5.790000,5.790000,11706900
2017-12-27,5.850000,5.980000,5.820000,5.840000,5.840000,11319900
2017-12-28,5.880000,5.950000,5.870000,5.910000,5.910000,10618600
2017-12-29,5.960000,6.010000,5.890000,5.890000,5.890000,10294000
2018-01-02,5.910000,6.010000,5.840000,5.930000,5.930000,12796400
2018-01-03,5.990000,6.010000,5.890000,5.900000,5.900000,13298200
2018-01-04,5.870000,5.890000,5.500000,5.630000,5.630000,35177000
2018-01-05,5.710000,5.820000,5.690000,5.800000,5.800000,15941900
2018-01-08,5.800000,5.940000,5.790000,5.800000,5.800000,16268000
2018-01-09,5.850000,5.940000,5.640000,5.690000,5.690000,25999300
2018-01-10,5.670000,5.770000,5.610000,5.620000,5.620000,14294200
2018-01-11,5.630000,5.800000,5.610000,5.690000,5.690000,17627300
2018-01-12,5.730000,5.760000,5.650000,5.690000,5.690000,18428100
2018-01-16,5.710000,5.740000,5.600000,5.600000,5.600000,15117000
2018-01-17,5.600000,5.630000,5.430000,5.490000,5.490000,17858100
2018-01-18,5.460000,5.490000,5.240000,5.340000,5.340000,27041900
2018-01-19,5.340000,5.540000,5.300000,5.470000,5.470000,23097400
2018-01-22,5.490000,5.490000,5.280000,5.320000,5.320000,19616300
2018-01-23,5.250000,5.320000,5.100000,5.300000,5.300000,23209500
2018-01-24,5.310000,5.350000,5.240000,5.260000,5.260000,11924100
2018-01-25,5.260000,5.360000,5.240000,5.340000,5.340000,12465200
2018-01-26,5.340000,5.380000,5.260000,5.370000,5.370000,10685500
2018-01-29,5.330000,5.340000,5.250000,5.270000,5.270000,9450200
2018-01-30,5.260000,5.300000,5.200000,5.290000,5.290000,10128500
2018-01-31,5.310000,5.330000,5.220000,5.330000,5.330000,12501500
2018-02-01,5.260000,5.280000,4.910000,5.100000,5.100000,42406100
2018-02-02,5.500000,5.510000,5.210000,5.360000,5.360000,36195200
2018-02-05,5.360000,5.420000,5.100000,5.130000,5.130000,20358100
2018-02-06,5.060000,5.240000,5.010000,5.100000,5.100000,17242100
2018-02-07,5.180000,5.620000,5.170000,5.510000,5.510000,35559400
2018-02-08,5.510000,5.640000,5.320000,5.370000,5.370000,26664900
2018-02-09,5.430000,5.440000,5.100000,5.300000,5.300000,18697100
2018-02-12,5.340000,5.410000,5.250000,5.270000,5.270000,7369300
2018-02-13,5.280000,5.320000,5.190000,5.260000,5.260000,9609600
2018-02-14,5.260000,5.340000,5.200000,5.310000,5.310000,9404900
2018-02-15,5.350000,5.520000,5.300000,5.490000,5.490000,10395900
2018-02-16,5.490000,5.490000,5.310000,5.390000,5.390000,12454200
2018-02-20,5.370000,5.500000,5.350000,5.450000,5.450000,12713100
2018-02-21,5.440000,5.570000,5.340000,5.350000,5.350000,11694100
2018-02-22,5.350000,5.380000,5.210000,5.230000,5.230000,12633300
2018-02-23,5.210000,5.310000,5.180000,5.300000,5.300000,9001800
2018-02-26,5.300000,5.380000,5.240000,5.350000,5.350000,8645300
2018-02-27,5.330000,5.390000,5.250000,5.250000,5.250000,11012100
2018-02-28,5.280000,5.340000,5.170000,5.190000,5.190000,15507200
2018-03-01,5.190000,5.280000,5.180000,5.250000,5.250000,11058100
2018-03-02,5.210000,5.290000,5.160000,5.290000,5.290000,7643800
2018-03-05,5.260000,5.420000,5.250000,5.380000,5.380000,8280500
2018-03-06,5.390000,5.440000,5.290000,5.350000,5.350000,7258300
2018-03-07,5.310000,5.390000,5.270000,5.310000,5.310000,7781900
2018-03-08,5.340000,5.360000,5.230000,5.310000,5.310000,9488200
2018-03-09,5.330000,5.350000,5.280000,5.300000,5.300000,6919100
2018-03-12,5.310000,5.340000,5.260000,5.320000,5.320000,8572200
2018-03-13,5.280000,5.320000,5.180000,5.290000,5.290000,10462700
2018-03-14,5.310000,5.310000,5.220000,5.270000,5.270000,9718000
2018-03-15,5.290000,5.330000,5.220000,5.260000,5.260000,11020400
2018-03-16,5.260000,5.380000,5.210000,5.360000,5.360000,17391800
2018-03-19,5.350000,5.370000,5.210000,5.250000,5.250000,12286300
2018-03-20,5.200000,5.230000,5.150000,5.190000,5.190000,14429000
2018-03-21,5.200000,5.250000,5.090000,5.160000,5.160000,15150300
2018-03-22,5.120000,5.170000,4.990000,5.030000,5.030000,13358300
2018-03-23,5.050000,5.080000,4.880000,4.920000,4.920000,10828800
2018-03-26,4.960000,5.020000,4.900000,5.010000,5.010000,7687200
2018-03-27,5.030000,5.040000,4.870000,4.890000,4.890000,9450600
2018-03-28,4.880000,4.920000,4.810000,4.860000,4.860000,11823600
2018-03-29,4.860000,5.000000,4.810000,4.880000,4.880000,11720900
2018-04-02,4.860000,4.960000,4.810000,4.850000,4.850000,11147600
2018-04-03,4.860000,4.980000,4.840000,4.960000,4.960000,11246000
2018-04-04,4.870000,5.110000,4.870000,5.060000,5.060000,12616200
2018-04-05,5.060000,5.220000,5.000000,5.170000,5.170000,9652500
2018-04-06,5.140000,5.230000,5.100000,5.150000,5.150000,8814800
2018-04-09,5.170000,5.220000,5.120000,5.140000,5.140000,7161400
2018-04-10,5.200000,6.410000,5.140000,6.020000,6.020000,73223700
2018-04-11,6.010000,6.150000,5.780000,6.000000,6.000000,38594600
2018-04-12,6.000000,6.080000,5.850000,5.880000,5.880000,12984600
2018-04-13,5.890000,5.920000,5.740000,5.780000,5.780000,13639500
2018-04-16,5.780000,5.870000,5.710000,5.850000,5.850000,6573400
2018-04-17,5.900000,6.070000,5.860000,5.950000,5.950000,14118800
2018-04-18,6.000000,6.050000,5.950000,6.000000,6.000000,6667800
2018-04-19,6.050000,6.120000,5.940000,5.960000,5.960000,10215900
2018-04-20,5.970000,6.040000,5.920000,6.000000,6.000000,7741600
2018-04-23,5.980000,6.000000,5.840000,5.880000,5.880000,6798500
2018-04-24,5.900000,5.970000,5.850000,5.910000,5.910000,7370400
2018-04-25,5.920000,6.040000,5.760000,6.020000,6.020000,11419800
2018-04-26,6.020000,6.030000,5.920000,6.000000,6.000000,7998900
2018-04-27,6.460000,6.620000,6.290000,6.500000,6.500000,58327200
2018-04-30,5.830000,5.960000,5.500000,5.610000,5.610000,106777700
2018-05-01,5.610000,5.680000,5.390000,5.420000,5.420000,44033700
2018-05-02,5.440000,5.520000,5.100000,5.170000,5.170000,51285100
2018-05-03,5.250000,5.260000,5.070000,5.210000,5.210000,27485900
2018-05-04,5.180000,5.320000,5.160000,5.280000,5.280000,20653000
2018-05-07,5.310000,5.350000,5.160000,5.240000,5.240000,25690100
2018-05-08,5.210000,5.290000,5.110000,5.150000,5.150000,18872700
2018-05-09,5.150000,5.210000,5.120000,5.180000,5.180000,16988000
2018-05-10,5.200000,5.220000,5.110000,5.180000,5.180000,17663900
2018-05-11,5.200000,5.230000,5.150000,5.160000,5.160000,8357900
2018-05-14,5.160000,5.190000,5.110000,5.140000,5.140000,13476400
2018-05-15,5.140000,5.160000,5.070000,5.130000,5.130000,14245400
2018-05-16,5.140000,5.150000,5.060000,5.070000,5.070000,11269400
2018-05-17,5.080000,5.100000,5.050000,5.090000,5.090000,8155900
2018-05-18,5.090000,5.120000,5.040000,5.110000,5.110000,13960300
2018-05-21,5.130000,5.180000,5.080000,5.160000,5.160000,10517300
2018-05-22,5.160000,5.240000,5.150000,5.180000,5.180000,11234100
2018-05-23,5.190000,5.220000,5.100000,5.140000,5.140000,9465100
2018-05-24,5.110000,5.190000,5.110000,5.160000,5.160000,6821500
2018-05-25,5.180000,5.180000,5.110000,5.150000,5.150000,6444600
2018-05-29,5.110000,5.200000,5.090000,5.130000,5.130000,9958800
2018-05-30,5.140000,5.270000,5.130000,5.220000,5.220000,20029400
2018-05-31,5.200000,5.210000,5.100000,5.140000,5.140000,17476800
2018-06-01,5.150000,5.230000,5.140000,5.200000,5.200000,12901400
2018-06-04,5.210000,5.250000,5.170000,5.230000,5.230000,9800900
2018-06-05,5.220000,5.280000,5.200000,5.220000,5.220000,4978000
2018-06-06,5.240000,5.260000,5.210000,5.230000,5.230000,11475500
2018-06-07,5.240000,5.280000,5.200000,5.220000,5.220000,12809000
2018-06-08,5.220000,5.230000,5.150000,5.170000,5.170000,7565800
2018-06-11,5.170000,5.260000,5.120000,5.260000,5.260000,7745000
2018-06-12,5.270000,5.320000,5.230000,5.310000,5.310000,9747200
2018-06-13,5.450000,5.460000,5.350000,5.380000,5.380000,24037800
2018-06-14,5.400000,5.470000,5.380000,5.460000,5.460000,8839200
2018-06-15,5.450000,5.510000,5.400000,5.490000,5.490000,12451300
2018-06-18,5.470000,5.550000,5.430000,5.550000,5.550000,9201400
2018-06-19,5.480000,5.600000,5.410000,5.530000,5.530000,8850700
2018-06-20,5.590000,5.590000,5.450000,5.470000,5.470000,13351600
2018-06-21,5.500000,5.500000,5.300000,5.350000,5.350000,12508200
2018-06-22,5.370000,5.550000,5.370000,5.500000,5.500000,18859500
2018-06-25,5.510000,5.510000,5.310000,5.320000,5.320000,11600600
2018-06-26,5.370000,5.410000,5.280000,5.400000,5.400000,6840900
2018-06-27,5.380000,5.500000,5.350000,5.410000,5.410000,8515400
2018-06-28,5.420000,5.480000,5.350000,5.470000,5.470000,11813000
2018-06-29,5.490000,5.500000,5.400000,5.440000,5.440000,6216300
2018-07-02,5.400000,5.460000,5.380000,5.430000,5.430000,7168700
2018-07-03,5.420000,5.470000,5.370000,5.410000,5.410000,6795600
2018-07-05,5.380000,5.490000,5.380000,5.480000,5.480000,8114600
2018-07-06,5.480000,5.630000,5.450000,5.630000,5.630000,10913600
2018-07-09,5.630000,5.680000,5.610000,5.610000,5.610000,7116300
2018-07-10,5.620000,5.660000,5.570000,5.630000,5.630000,8448400
2018-07-11,5.560000,5.600000,5.480000,5.500000,5.500000,6616500
2018-07-12,5.530000,5.660000,5.500000,5.660000,5.660000,9708000
2018-07-13,5.630000,5.690000,5.590000,5.660000,5.660000,6746200
2018-07-16,5.650000,5.690000,5.630000,5.650000,5.650000,4002900
2018-07-17,5.640000,5.680000,5.580000,5.590000,5.590000,7241500
2018-07-18,5.590000,5.640000,5.540000,5.560000,5.560000,4857600
2018-07-19,5.550000,5.590000,5.470000,5.470000,5.470000,14969800
2018-07-20,5.470000,5.490000,5.390000,5.460000,5.460000,6273400
2018-07-23,5.460000,5.480000,5.390000,5.410000,5.410000,5177700
2018-07-24,5.430000,5.460000,5.350000,5.400000,5.400000,6084200
2018-07-25,5.420000,5.470000,5.400000,5.420000,5.420000,7809700
2018-07-26,5.410000,5.510000,5.400000,5.480000,5.480000,4988700
2018-07-27,5.470000,5.590000,5.450000,5.490000,5.490000,4730800
2018-07-30,5.500000,5.590000,5.450000,5.490000,5.490000,5350100
2018-07-31,5.500000,5.530000,5.430000,5.430000,5.430000,8421900
2018-08-01,5.530000,5.550000,5.380000,5.380000,5.380000,9899400
2018-08-02,5.360000,5.700000,5.360000,5.660000,5.660000,16668300
2018-08-03,5.640000,5.720000,5.600000,5.620000,5.620000,9532800
2018-08-06,5.700000,6.240000,5.660000,6.180000,6.180000,55047900
2018-08-07,6.120000,6.240000,6.090000,6.130000,6.130000,13298800
2018-08-08,6.110000,6.190000,6.020000,6.080000,6.080000,14935800
2018-08-09,6.070000,6.130000,6.070000,6.080000,6.080000,5516700
2018-08-10,6.050000,6.080000,5.990000,6.030000,6.030000,6201300
2018-08-13,6.020000,6.080000,5.990000,6.070000,6.070000,9414400
2018-08-14,6.070000,6.150000,6.050000,6.110000,6.110000,11407000
2018-08-15,6.060000,6.120000,6.000000,6.010000,6.010000,9447300
2018-08-16,6.040000,6.150000,6.020000,6.120000,6.120000,6005000
2018-08-17,6.110000,6.150000,6.070000,6.130000,6.130000,8168100
2018-08-20,6.130000,6.190000,6.090000,6.170000,6.170000,5969800
2018-08-21,6.170000,6.220000,6.140000,6.180000,6.180000,5779100
2018-08-22,6.180000,6.190000,6.090000,6.140000,6.140000,5903600
2018-08-23,6.130000,6.160000,6.090000,6.110000,6.110000,5006900
2018-08-24,6.100000,6.180000,6.080000,6.080000,6.080000,11205900
2018-08-27,6.100000,6.150000,6.090000,6.100000,6.100000,4023400
2018-08-28,6.110000,6.160000,6.040000,6.100000,6.100000,8882000
2018-08-29,6.110000,6.220000,6.080000,6.130000,6.130000,7435100
2018-08-30,6.100000,6.180000,6.090000,6.130000,6.130000,14951400
2018-08-31,6.130000,6.190000,6.100000,6.110000,6.110000,14239600
2018-09-04,6.100000,6.150000,6.060000,6.100000,6.100000,10680800
2018-09-05,6.100000,6.120000,6.060000,6.080000,6.080000,7367800
2018-09-06,6.090000,6.120000,6.060000,6.090000,6.090000,5839700
2018-09-07,6.060000,6.080000,5.870000,5.950000,5.950000,12236400
2018-09-10,5.950000,6.080000,5.930000,6.050000,6.050000,9551100
2018-09-11,6.070000,6.100000,6.030000,6.080000,6.080000,4820300
2018-09-12,6.030000,6.370000,6.010000,6.310000,6.310000,15180200
2018-09-13,6.300000,6.410000,6.250000,6.360000,6.360000,8659400
2018-09-14,6.370000,6.400000,6.270000,6.350000,6.350000,11505000
2018-09-17,6.330000,6.340000,6.270000,6.330000,6.330000,6305700
2018-09-18,6.330000,6.440000,6.300000,6.420000,6.420000,14782800
2018-09-19,6.410000,6.480000,6.340000,6.360000,6.360000,6504700
2018-09-20,6.380000,6.450000,6.370000,6.440000,6.440000,6426000
2018-09-21,6.390000,6.500000,6.390000,6.390000,6.390000,12029000
2018-09-24,6.360000,6.430000,6.330000,6.380000,6.380000,8849700
2018-09-25,6.350000,6.460000,6.340000,6.400000,6.400000,8445000
2018-09-26,6.390000,6.480000,6.380000,6.430000,6.430000,9393100
2018-09-27,6.430000,6.550000,6.410000,6.540000,6.540000,10928700
2018-09-28,6.520000,6.610000,6.500000,6.540000,6.540000,16096800
2018-10-01,6.550000,6.610000,6.510000,6.550000,6.550000,6723500
2018-10-02,6.500000,6.610000,6.470000,6.540000,6.540000,12635500
2018-10-03,6.570000,6.590000,6.500000,6.500000,6.500000,14021100
2018-10-04,6.500000,6.530000,6.400000,6.530000,6.530000,10830700
2018-10-05,6.470000,6.600000,6.370000,6.440000,6.440000,8974400
2018-10-08,6.420000,6.560000,6.380000,6.520000,6.520000,14466900
2018-10-09,6.500000,6.590000,6.430000,6.440000,6.440000,9661900
2018-10-10,6.430000,6.510000,6.230000,6.230000,6.230000,9048300
2018-10-11,6.180000,6.320000,6.160000,6.210000,6.210000,12604600
2018-10-12,6.250000,6.430000,6.250000,6.410000,6.410000,8603200
2018-10-15,6.400000,6.410000,6.280000,6.280000,6.280000,11455800
2018-10-16,6.320000,6.440000,6.270000,6.400000,6.400000,7321600
2018-10-17,6.410000,6.450000,6.370000,6.410000,6.410000,14415100
2018-10-18,6.410000,6.450000,6.330000,6.370000,6.370000,6274200
2018-10-19,6.400000,6.560000,6.390000,6.460000,6.460000,9259100
2018-10-22,6.500000,6.550000,6.420000,6.440000,6.440000,4788800
2018-10-23,6.430000,6.460000,6.270000,6.390000,6.390000,9451100
2018-10-24,6.380000,6.400000,5.910000,5.940000,5.940000,24373100
2018-10-25,6.000000,6.120000,5.900000,6.080000,6.080000,17222700
2018-10-26,5.970000,6.000000,5.790000,5.840000,5.840000,15514800
2018-10-29,5.910000,6.030000,5.660000,5.750000,5.750000,9113700
2018-10-30,5.750000,5.890000,5.670000,5.680000,5.680000,19839700
2018-10-31,6.060000,6.360000,6.060000,6.120000,6.120000,33076800
2018-11-01,6.160000,6.390000,6.100000,6.280000,6.280000,16472900
2018-11-02,6.330000,6.390000,6.220000,6.270000,6.270000,18945700
2018-11-05,6.320000,6.410000,6.270000,6.270000,6.270000,14827500
2018-11-06,6.250000,6.330000,6.180000,6.200000,6.200000,13353000
2018-11-07,6.280000,6.400000,6.250000,6.380000,6.380000,14491200
2018-11-08,6.320000,6.390000,6.250000,6.260000,6.260000,8217400
2018-11-09,6.220000,6.250000,6.130000,6.190000,6.190000,8971800
2018-11-12,6.210000,6.230000,6.060000,6.090000,6.090000,11564100
2018-11-13,6.150000,6.320000,6.130000,6.210000,6.210000,24689600
2018-11-14,6.260000,6.300000,6.110000,6.150000,6.150000,29965100
2018-11-15,6.100000,6.170000,6.050000,6.120000,6.120000,22881000
2018-11-16,6.070000,6.380000,6.070000,6.310000,6.310000,23944500
2018-11-19,6.270000,6.470000,6.180000,6.190000,6.190000,13344200
2018-11-20,6.150000,6.180000,6.050000,6.080000,6.080000,12148100
