Date,Open,High,Low,Close,Adj Close,Volume
2017-12-14,37.860001,38.160000,37.680000,37.740002,33.523014,34286500
2017-12-15,38.139999,38.290001,37.930000,38.240002,33.967144,46808600
2017-12-18,38.500000,38.889999,38.389999,38.459999,34.162560,31497200
2017-12-19,38.459999,38.680000,38.029999,38.049999,33.798370,29181800
2017-12-20,38.270000,38.840000,38.180000,38.549999,34.242504,26968900
2017-12-21,38.560001,39.290001,38.470001,38.880001,34.535629,31981700
2017-12-22,38.779999,39.110001,38.700001,38.939999,34.588921,19960500
2017-12-26,38.950001,39.330002,38.950001,39.060001,34.695515,13578200
2017-12-27,39.080002,39.139999,38.709999,38.889999,34.544514,16339300
2017-12-28,39.000000,39.200001,38.880001,39.180000,34.802109,15627400
2017-12-29,39.220001,39.320000,38.880001,38.880001,34.535629,26479900
2018-01-02,39.060001,39.060001,38.360001,38.540001,34.233616,32195600
2018-01-03,38.470001,38.490002,37.529999,37.650002,33.443069,39162500
2018-01-04,37.750000,38.189999,37.259998,38.000000,33.753960,27865700
2018-01-05,38.139999,38.160000,37.799999,38.139999,33.878315,22194900
2018-01-08,38.150002,38.480000,37.849998,38.250000,33.976025,26643900
2018-01-09,37.630001,37.990002,37.480000,37.490002,33.742016,28061100
2018-01-10,37.389999,37.389999,36.540001,36.619999,32.958996,41078600
2018-01-11,36.669998,36.770000,36.369999,36.480000,32.832989,41400300
2018-01-12,36.480000,36.990002,36.320000,36.900002,33.211002,31182200
2018-01-16,36.900002,37.020000,36.540001,36.720001,33.049000,24727600
2018-01-17,36.770000,36.950001,36.490002,36.849998,33.166004,22050200
2018-01-18,36.840000,37.380001,36.810001,37.150002,33.436008,27661100
2018-01-19,37.369999,37.369999,36.939999,37.209999,33.490009,27919800
2018-01-22,37.200001,37.900002,36.980000,37.869999,34.084026,31660600
2018-01-23,37.950001,38.220001,37.029999,37.189999,33.472008,33036000
2018-01-24,37.290001,37.389999,36.980000,37.020000,33.319008,28567800
2018-01-25,37.090000,37.450001,36.840000,37.450001,33.706020,23400300
2018-01-26,37.459999,37.820000,37.360001,37.820000,34.039024,21608500
2018-01-29,37.130001,37.680000,36.980000,37.259998,33.535011,30879600
2018-01-30,37.360001,37.799999,37.299999,37.439999,33.697021,29883200
2018-01-31,37.419998,37.919998,37.330002,37.450001,33.706020,41422400
2018-02-01,38.509998,39.290001,38.400002,39.160000,35.245060,59963800
2018-02-02,39.029999,39.040001,37.810001,38.070000,34.264030,46098700
2018-02-05,37.810001,38.310001,36.630001,36.630001,32.967995,45595500
2018-02-06,36.080002,37.070000,35.500000,36.830002,33.148003,62905300
2018-02-07,36.810001,37.450001,36.740002,36.930000,33.238007,35634500
2018-02-08,36.889999,36.950001,35.570000,35.570000,32.013958,45743000
2018-02-09,35.830002,36.349998,35.029999,36.049999,32.445980,50218400
2018-02-12,36.330002,36.599998,35.970001,36.369999,32.733982,27750700
2018-02-13,36.290001,36.709999,35.970001,36.599998,32.940990,22877200
2018-02-14,36.400002,36.770000,36.110001,36.410000,32.769989,24834200
2018-02-15,36.470001,37.000000,36.230000,37.000000,33.301006,27507200
2018-02-16,36.980000,37.389999,36.860001,37.139999,33.427006,19901600
2018-02-20,36.880001,37.090000,36.669998,36.770000,33.094002,22071500
2018-02-21,36.770000,37.040001,36.279999,36.310001,32.679993,20792600
2018-02-22,36.470001,36.990002,36.410000,36.470001,32.823990,18537500
2018-02-23,36.549999,36.750000,36.290001,36.720001,33.049000,17446300
2018-02-26,36.930000,37.509998,36.810001,37.459999,33.715012,19871400
2018-02-27,37.419998,37.639999,36.869999,36.869999,33.183998,21420600
2018-02-28,37.180000,37.180000,36.299999,36.299999,32.670986,29281700
2018-03-01,36.310001,36.750000,35.869999,36.000000,32.400978,28548900
2018-03-02,36.000000,36.400002,35.950001,36.349998,32.715984,21364000
2018-03-05,36.200001,36.820000,36.099998,36.700001,33.030994,19299000
2018-03-06,36.830002,36.900002,36.500000,36.869999,33.183998,17462100
2018-03-07,36.590000,37.029999,36.560001,36.910000,33.220001,18486000
2018-03-08,36.910000,37.110001,36.560001,37.110001,33.400005,19766300
2018-03-09,37.169998,37.220001,36.820000,37.049999,33.346004,18820300
2018-03-12,37.049999,37.570000,37.040001,37.360001,33.625015,22305000
2018-03-13,37.549999,37.810001,37.259998,37.389999,33.652016,19183800
2018-03-14,37.590000,37.590000,36.959999,37.029999,33.328003,18605200
2018-03-15,37.090000,37.290001,37.009998,37.040001,33.337006,21879100
2018-03-16,37.090000,37.340000,36.900002,37.000000,33.301006,37103000
2018-03-19,36.980000,37.099998,36.470001,36.580002,32.922993,19637900
2018-03-20,36.680000,36.820000,36.180000,36.340000,32.706985,20167100
2018-03-21,36.340000,36.500000,36.000000,36.000000,32.400978,17437200
2018-03-22,35.950001,36.040001,35.360001,35.369999,31.833960,28196900
2018-03-23,35.369999,35.990002,34.549999,34.700001,31.230946,35028000
2018-03-26,35.060001,35.290001,34.439999,34.689999,31.221943,31492500
2018-03-27,34.849998,35.200001,34.689999,34.900002,31.410946,33860700
2018-03-28,35.290001,35.849998,35.240002,35.560001,32.004963,30746200
2018-03-29,35.680000,35.889999,35.020000,35.650002,32.085968,27564100
2018-04-02,35.580002,35.660000,34.830002,35.099998,31.590950,29232900
2018-04-03,35.160000,35.419998,34.849998,35.369999,31.833960,21880200
2018-04-04,35.160000,35.939999,34.980000,35.880001,32.292980,20562100
2018-04-05,35.930000,36.209999,35.680000,36.139999,32.526981,17103300
2018-04-06,36.009998,36.200001,35.419998,35.630001,32.067970,25117400
2018-04-09,35.240002,35.700001,35.060001,35.169998,32.104477,21879600
2018-04-10,35.320000,36.389999,35.049999,35.810001,32.688702,39800800
2018-04-11,35.660000,35.730000,35.180000,35.250000,32.177505,21045800
2018-04-12,35.419998,35.470001,35.060001,35.160000,32.095356,21950200
2018-04-13,35.209999,35.369999,35.020000,35.139999,32.077091,14374800
2018-04-16,35.369999,35.820000,35.220001,35.639999,32.533516,24897300
2018-04-17,35.689999,35.770000,35.310001,35.360001,32.277920,20585800
2018-04-18,35.480000,35.540001,35.160000,35.209999,32.140995,21601000
2018-04-19,35.240002,35.270000,34.810001,34.820000,31.784985,23543900
2018-04-20,34.860001,35.060001,34.150002,34.669998,31.648056,32452800
